Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid
LVA,2020,12.1885,2251.382501190882,3669.132925955919,43.8,36.25366876310272,63.7583857442348,33379927434.61488,17564.232154935427,34225.897604405814,1900449.0,68.1211222872228,20.334183765997796,4.079181942175598,54.80941668005785,31.64068777117146,1
LVA,2021,12.4485,2375.518507028379,3838.1737233946583,44.0,36.40112897707834,63.596134108792334,38183326784.933495,20261.888778891633,36912.013060216064,1884490.0,68.1808791463693,21.091830668274618,4.206722515353609,54.871605335047406,31.65675719106541,1
LVA,2022,11.8236,2256.1190453886675,3714.5169451889265,44.0,24.11530815109344,63.596134108792334,38003198508.91065,20221.103686109032,37718.70979583672,1879383.0,68.2570218109034,20.581400181884987,5.114110384568705,54.93379399003696,31.65675719106541,0
LVA,2023,11.698,2240.3364970837497,3616.7987641409777,44.0,22.27963049945201,63.596134108792334,42779550936.83801,22710.263754419742,37277.721722131726,1883710.0,68.3586316343061,20.134866297506527,3.93344279418518,54.99598264502652,31.672826610959344,0
LVA,2024,11.6424,2270.984287335879,3767.70246778885,43.99999999999999,22.27963049945201,63.59613410879233,43684254432.36093,23409.084515477494,37611.66993594042,1866124.0,68.4839492628509,18.490991422920633,4.042190788342729,54.99598264502652,31.672826610959344,0
MAR,2000,56.668,387.6743264127436,496.4213509028729,15.5,93.92054730622716,6.084428204928866,43017455401.844536,1499.107421875,5100.11572265625,28423435.0,53.58724711125,24.352630203585647,10.728631792955296,12.338203002464711,68.68025991485548,0
MAR,2001,60.5077,405.38573355372824,530.5982794928259,15.3,92.8419513491958,7.156054765386149,43831480207.64445,1506.24523925781,5417.57861328125,28814643.0,53.8972613497219,22.86969299408666,11.876177623858652,12.375852565538874,68.04839793860631,0
MAR,2002,62.076,406.63483834600504,540.7193375523689,15.1,93.14735805710536,6.8601247128322935,47077192187.64177,1596.02062988281,5544.07177734375,29198142.0,54.222745830177,22.636122443438676,11.84327816637252,12.41350212861304,67.85346179699754,0
MAR,2003,62.6199,399.73636835338795,585.8022012135706,16.1,89.99276149113282,9.976957413439498,58029363354.27568,1941.87255859375,5810.05322265625,29571415.0,54.5782811140771,23.32480131448184,12.49186018205516,12.451151691687205,69.18216446336545,0
MAR,2004,68.5013,463.89486071226946,559.0087783474773,22.4,89.72486413043478,10.247509057971014,66114145451.00669,2183.55541992188,5996.39013671875,29953018.0,54.9787569660869,24.002987611665564,11.869333718001036,12.488801254761372,67.3112256329823,0
MAR,2005,70.5998,484.7979088325755,589.6934937788028,20.0,91.76713918175857,8.223780457044846,68852658068.66728,2242.98828125,6103.42236328125,30358144.0,55.4397798676399,23.681206882661375,10.698880448357803,12.526450817835538,67.1947120770782,0
